frames,vehicle_id,vehicle_bbox,plate_bbox,plate_text,confidence
96,6.0,[485.2579837585303 689.4840873114772 840.7328510857624 964.2467485685966],[613.0409545898438 871.271484375 707.73388671875 901.220947265625],GX15OGJ,0.380394363627697
96,1.0,[1029.0373440153107 542.7664892757938 1274.0153017806997 757.5695397188332],[1113.67724609375 681.5423583984375 1205.849365234375 709.2713012695312],IF05JED,0.0668752487100818
97,6.0,[483.2779062490205 691.883677011563 840.1082107888082 967.8648195636785],[610.25537109375 872.5134887695312 710.1727294921875 902.6618041992188],GX15OCJ,0.6262349238308585
97,1.0,[1028.8636351047687 544.1896611564401 1274.471224724515 759.0379004476807],[1110.8662109375 680.9847412109375 1208.144287109375 710.192626953125],IP05JEO,0.06853063836860504
98,6.0,[481.42187325958844 697.0672944175521 839.2881408514666 973.5638415009169],[607.3817138671875 876.6407470703125 706.63134765625 907.8330078125],GX15OGJ,0.39451356185296726
99,6.0,[479.61928764779003 700.8789428373003 838.5940455542454 978.3104645466809],[609.2462768554688 881.90234375 697.4342651367188 910.18017578125],GX15OGJ,0.4123175599010731
99,1.0,[1028.2749164495006 545.843934065577 1275.1236259263198 762.7493223902885],[1116.343505859375 686.1806640625 1206.6485595703125 714.6519775390625],WP05JED,0.395292228674228
100,6.0,[478.8207149359755 703.6750547483329 837.9319965696382 980.7989138974159],[607.416259765625 884.1575317382812 700.722900390625 913.9011840820312],GX15OGJ,0.521858849726966
100,1.0,[1027.3162774683765 546.732747250539 1275.2995394903533 765.394975036221],[1119.0224609375 688.842529296875 1200.34814453125 715.3218994140625],AP05JED,0.4704708770646639
101,6.0,[477.3358424910027 707.0625076041644 837.6296213178603 985.2006749271744],[604.4737548828125 889.6829223632812 701.30322265625 919.3778686523438],GX15OGJ,0.12057594701158227
101,1.0,[1027.6658364386267 548.0100191071384 1277.4820983038662 767.8126303597593],[1118.02783203125 691.285888671875 1204.21533203125 716.400634765625],LP05JEO,0.06409382628402888
102,6.0,[475.718669309122 710.6848810642294 837.6577508410356 990.5787835283844],[602.4116821289062 893.1315307617188 706.2229614257812 924.2568969726562],GX15OGJ,0.47585622605372063
102,1.0,[1028.4511031281763 549.7545236030494 1280.1544522972845 770.3970002800211],[1115.5322265625 692.314697265625 1209.8365478515625 722.1592407226562],AP05JEC,0.1948198978395172
104,6.0,[474.4793888557724 715.5329828092783 836.9730881299954 998.4698591382869],[603.4830322265625 900.3538818359375 698.8002319335938 931.8612060546875],GX15OGJ,0.38004848607219877
104,1.0,[1027.3408469042943 553.5239585897908 1280.1373172976296 774.9621996236314],[1113.07080078125 696.5382690429688 1211.65673828125 725.8682250976562],LP05JED,0.24038972011817913
106,1.0,[1027.6933363869316 556.3185182251317 1281.0593397586963 778.2151993754263],[1113.5841064453125 701.1453857421875 1198.3193359375 728.7354125976562],IP05JED,0.23888918232035158
107,1.0,[1027.1650322763774 557.9305169021353 1280.8125846731757 780.2568169939099],[1117.132568359375 706.5924072265625 1203.706298828125 732.079345703125],LP05JED,0.3507042799751565
108,1.0,[1027.692461604286 560.0933947630475 1281.9844598363493 782.5898845530907],[1119.928955078125 705.4850463867188 1206.6572265625 735.7245483398438],IP05JEQ,0.3150766416003277
109,6.0,[466.04149717945876 732.331867781006 832.9799148939278 1020.8102483958318],[593.6873779296875 918.5791625976562 692.796630859375 950.6028442382812],GX15OGJ,0.3208953569904545
109,1.0,[1027.662556821081 561.3941508045365 1282.220133189123 784.1911747221799],[1112.55029296875 707.88818359375 1207.217529296875 735.376708984375],IP05JED,0.50098475848218
110,1.0,[1028.2118445549395 563.5427827825129 1282.6123401190207 786.6265802901883],[1118.0772705078125 708.2913208007812 1202.4676513671875 736.3134155273438],AP05JEO,0.2921970131150319
111,6.0,[464.0362863414855 738.4723897752206 831.606573577541 1029.7139967115222],[592.298095703125 928.8865966796875 692.13623046875 957.578125],GX15OCJ,0.35232058703626423
111,1.0,[1028.785722166046 565.588018983636 1283.9949681793819 789.3265084478624],[1115.21484375 714.0860595703125 1212.044677734375 741.3978881835938],IP05JEQ,0.21819044045626185
112,6.0,[463.28650026229946 741.4066588730906 831.0011464783835 1033.4463449412576],[589.80322265625 932.05322265625 689.5382080078125 961.4400634765625],GX15OCJ,0.704222411275674
112,1.0,[1028.1420752958363 566.4299316466066 1284.4839718463888 790.1589979622082],[1113.03173828125 715.2890625 1214.7166748046875 744.1232299804688],AP05AGO,0.15236916625224714
113,1.0,[1028.9230763508451 568.3553620220823 1287.367133911104 792.2607614867145],[1117.7193603515625 714.6485595703125 1215.4248046875 746.5836181640625],AP05JED,0.4020640162738853
114,6.0,[456.4723880165461 749.2934440112373 827.9851308803713 1044.8380428526862],[586.61474609375 941.4315185546875 687.2425537109375 972.7674560546875],GX15OCJ,0.4644362394448526
114,1.0,[1026.2778293344718 569.0984142692284 1286.8964393852043 794.30925150552],[1114.006103515625 720.3880615234375 1214.326416015625 749.0670776367188],AP05JEO,0.26072823712220067
115,1.0,[1025.0275988784756 569.8496070458503 1287.4516561859264 795.6445343653394],[1114.295166015625 722.008056640625 1213.4276123046875 750.7178955078125],SP05JED,0.08348418267300617
116,6.0,[451.4339326651001 755.1049811087912 827.0770739176359 1051.847782885805],[581.5289306640625 948.9400634765625 683.51318359375 980.2056884765625],GX15OCJ,0.4522279445922639
116,1.0,[1026.5051077401527 570.9035367009675 1289.4386641946435 798.0179758600333],[1116.585205078125 725.3934326171875 1216.005615234375 750.4876708984375],LP05JEQ,0.3602175111882977
117,1.0,[1026.7431548952961 573.8601552725673 1289.6236432255562 801.657798410787],[1117.841796875 726.6995849609375 1213.9853515625 752.5029296875],AP05JEO,0.13246197076190502
118,1.0,[1025.9168884311318 576.3886599544383 1290.2644021100348 804.2096279624077],[1118.6475830078125 726.9699096679688 1215.880615234375 755.2809448242188],IP05JEQ,0.30315955691517166
119,6.0,[446.5866658405404 764.8122912484898 826.2336161317679 1060.765618169725],[576.811767578125 963.6091918945312 677.7867431640625 992.7097778320312],GX15OGJ,0.6147438975651006
119,1.0,[1026.3395695224838 578.4918876961639 1291.8673247683262 806.8384560327935],[1119.2349853515625 728.251953125 1217.598388671875 760.407958984375],JP05JED,0.3952368326583913
120,6.0,[442.23522515934667 767.9742264465498 824.6356026604989 1064.1447381001021],[576.2180786132812 966.0624389648438 683.5296020507812 998.8800659179688],GY15OCJ,0.5597804072815089
120,1.0,[1026.8643922033189 580.8311327931465 1292.9107928800663 809.932964011334],[1116.93994140625 728.7742309570312 1219.378662109375 760.6807250976562],XP05JEO,0.2501693081337974
121,1.0,[1025.7787790077957 581.7280070122225 1292.7070624749842 812.0978132874242],[1120.3031005859375 730.4964599609375 1218.11181640625 760.5759887695312],XP05JED,0.44452136712378987
122,6.0,[437.7906023181913 775.2327288434058 823.9227344839167 1071.6432593816517],[570.4795532226562 974.2459716796875 670.8782958984375 1006.346923828125],GX15OCJ,0.6447340377102425
122,40.0,[1119.5203252105023 789.6832244474041 1467.563868925966 1062.0717432863867],[1243.32861328125 965.9776611328125 1356.0845947265625 999.815185546875],LW17VCV,0.27755768529869407
122,1.0,[1025.8245032940847 583.4683207006142 1293.5540974575 815.121434199033],[1125.3955078125 740.3389892578125 1206.6815185546875 764.1703491210938],XP05JEO,0.3033575504335283
123,1.0,[1023.6108310777446 586.5500303848669 1293.7748728892432 818.5353763018982],[1129.259521484375 741.727294921875 1211.5302734375 764.9344482421875],AP05JEO,0.32834881732576615
124,1.0,[1021.6597601381045 587.8566693913236 1293.7615667158307 820.4032206211776],[1128.8154296875 741.3760986328125 1210.2967529296875 765.4918212890625],AP05JEO,0.08709172934479453
125,6.0,[431.3537686189149 784.9571134243477 823.0697294131176 1077.7046771047344],[566.0875244140625 988.6087646484375 671.252685546875 1021.77099609375],GX15OCJ,0.34728362337565166
125,1.0,[1021.7903520092196 590.9833064628099 1295.160184546025 822.8605464801535],[1121.53271484375 744.9671630859375 1217.874755859375 773.3492431640625],XP05JEQ,0.45285516877148946
125,40.0,[1120.7163798762424 798.2526785886428 1476.725014182348 1075.131111046782],[1244.0107421875 974.597412109375 1363.6868896484375 1011.982421875],LM13VCR,0.1751114115743335
126,6.0,[427.9249880914922 789.9735697794472 822.0861635833744 1078.7634154327893],[564.5850830078125 993.1638793945312 674.3050537109375 1028.76025390625],GX15OCJ,0.45194776145012056
126,40.0,[1120.213742633276 802.9807598866453 1478.9956879229635 1079.24827827448],[1246.1953125 979.3401489257812 1368.4691162109375 1025.964111328125],LM13VCV,0.19497767047613332
127,6.0,[425.5787629045456 793.4304252159486 821.7792930899423 1078.7154100588307],[563.2379150390625 997.8160400390625 669.2484741210938 1029.2061767578125],GX15OCJ,0.4002710146516125
127,1.0,[1021.588101103704 594.2174953836403 1297.3477065529137 826.6160978361182],[1118.2218017578125 747.2537841796875 1217.95849609375 774.260009765625],AP05JEO,0.45038921453004516
128,1.0,[1022.2211462849839 595.3906565344056 1298.046362776687 828.8387628844476],[1118.56689453125 749.597900390625 1221.66162109375 777.5414428710938],AP05JEO,0.18906967658974752
129,1.0,[1022.250576924893 597.4817719213422 1298.7246575327433 832.0376866716142],[1128.94384765625 752.2196044921875 1220.143798828125 778.106689453125],AP05JEO,0.3111982197568172
129,6.0,[420.8478655208465 800.13357301961 819.3623778300719 1077.8281852475989],[555.98876953125 1011.448974609375 660.758544921875 1040.0526123046875],GX15OGJ,0.3113921683682717
130,6.0,[419.6371540733071 802.8239771517219 819.2982543224525 1077.413166227293],[554.7592163085938 1012.3789672851562 661.3994750976562 1043.14501953125],GX15OGJ,0.44216502955869164
130,1.0,[1022.9035514951826 598.3407599689857 1300.0224641750638 834.0275716915313],[1128.2457275390625 754.1708984375 1222.06689453125 780.4853515625],AP05JEO,0.41686303958657833
130,40.0,[1120.1624793923645 811.4162261077422 1485.4931508848233 1077.2883321114334],[1259.173828125 1002.9525146484375 1365.95458984375 1037.13916015625],LM13VCY,0.10358187876159378
131,1.0,[1022.7368516866682 600.4786665036802 1300.6417932754152 836.6884591868104],[1120.13037109375 754.2156982421875 1225.73828125 784.066650390625],IP05JEQ,0.3172984729531789
132,40.0,[1121.1896610252934 818.3006021810737 1489.5834422238836 1076.3778360719848],[1258.8336181640625 1011.2594604492188 1368.863525390625 1049.131591796875],LH13VCT,0.4442129915501143
132,1.0,[1023.0658726548361 603.2128403059869 1301.6800920492467 840.0541256661204],[1121.705810546875 755.2944946289062 1222.04833984375 787.7986450195312],AP05JEQ,0.5087223185420813
132,6.0,[417.5733221569599 811.7178791660879 818.5942971554764 1079.386147792053],[554.3563232421875 1024.506103515625 657.833740234375 1055.2542724609375],GX15OCJ,0.48881581484616315
133,40.0,[1121.5337226864951 821.3851849094527 1490.6098593360423 1076.6764469692823],[1259.82275390625 1016.97021484375 1369.7025146484375 1051.1175537109375],LM13VCV,0.2550600042242745
133,1.0,[1022.4963970071617 605.0262174290162 1302.8523936174565 841.8483209063629],[1128.2696533203125 757.8426513671875 1227.9970703125 789.6334228515625],AP05JEQ,0.5298475009174201
133,6.0,[415.20461833138546 815.0640286622846 814.9604540964285 1080.0939057471583],[550.6012573242188 1027.634033203125 649.8448486328125 1055.9835205078125],GX15OGJ,0.18538190481077732
134,6.0,[412.82194657623234 818.4641206326899 811.8616288366949 1080.305548362713],[545.041015625 1034.8731689453125 659.5875244140625 1066.498779296875],GX15OCJ,0.290845583709852
134,40.0,[1120.9764341159228 825.4363132498072 1491.5415049251326 1078.3034493655566],[1259.2174072265625 1023.040283203125 1367.8970947265625 1056.0120849609375],LM13VCY,0.21692947115092012
134,1.0,[1022.019744327391 605.8472332216886 1303.0297885473474 843.1251533806669],[1125.16357421875 760.8392333984375 1229.923583984375 794.28271484375],AP05JFD,0.3958375199264786
135,6.0,[410.06006566975816 823.2253325679565 809.2488830548405 1081.9697115819754],[547.285888671875 1039.80224609375 655.028564453125 1072.8460693359375],GX15OGJ,0.5103784269497121
135,40.0,[1121.41269233108 829.820756213003 1493.7257800908123 1079.77610403146],[1265.794189453125 1027.933837890625 1371.0794677734375 1063.482177734375],LM13VCV,0.36587346617841854
136,40.0,[1122.0222513127167 833.4040897470119 1494.2092607331285 1080.9748386915116],[1263.7554931640625 1031.3897705078125 1374.687744140625 1068.0360107421875],LM13VCV,0.1270291518463912
136,1.0,[1019.9655616291271 609.1009479622863 1304.9597118031547 847.7931867627439],[1131.591064453125 769.1610717773438 1226.8934326171875 797.0467529296875],AP05JEO,0.45053563316591716
136,6.0,[408.27168834189456 826.1239357125264 807.824298393976 1081.1045080483273],[547.3619384765625 1041.7166748046875 643.5709228515625 1073.873291015625],GX15OGJ,0.24361301779819786
137,40.0,[1122.8913604346485 836.7633662894743 1494.7310517672208 1080.9770953985355],[1263.18212890625 1033.8460693359375 1376.660888671875 1073.993408203125],LM13VCV,0.4743069982116382
137,1.0,[1020.4380814040576 611.6579777382182 1306.5680814426694 851.0849068778394],[1132.27099609375 769.3430786132812 1228.4287109375 797.8353881835938],AP05JEQ,0.38256211714509375
137,6.0,[404.8259937534285 830.695431920037 806.7311839704078 1082.5520835185616],[540.504638671875 1050.9451904296875 644.4759521484375 1080.0],GX15OCJ,0.3440093614194197
138,1.0,[1021.8545735099907 614.1450715097988 1308.2738308344851 853.8787995254975],[1125.7152099609375 774.7860717773438 1226.9296875 802.1314086914062],AP05JED,0.2272170419191609
139,1.0,[1024.4692405137216 614.6114857885145 1310.8269008647153 855.1551104558121],[1125.609619140625 772.5787353515625 1228.8857421875 799.3899536132812],AP05JEO,0.707770635428539
140,1.0,[1024.306542589151 616.0276611341515 1311.8432026304222 858.2914729890103],[1132.9482421875 776.681396484375 1228.12939453125 804.031494140625],AP05JEO,0.2857905472971529
140,40.0,[1129.35549777702 849.3347776819975 1501.5690353852988 1080.7838573615693],[1269.256591796875 1055.3228759765625 1375.86865234375 1080.0],LM13YCV,0.16240134162877196
141,1.0,[1023.7451939030096 617.730822363371 1312.2892047359455 861.4528281837057],[1126.934326171875 778.7550659179688 1223.48046875 808.0204467773438],AP05JEO,0.3405788162239113
142,1.0,[1024.8751837396753 619.4167239657684 1314.5748280861972 864.3556520299833],[1130.091064453125 779.3701171875 1226.262451171875 810.2184448242188],AP05JEO,0.14277197767552283
143,1.0,[1022.5292504206841 621.1690195115989 1314.6158893701 868.017289330772],[1128.880126953125 780.826904296875 1230.895263671875 813.1783447265625],AP05JED,0.3887330971071899
144,1.0,[1022.8313625359563 623.5370309949093 1316.6531154973839 872.1941838811916],[1131.866943359375 783.570556640625 1232.4688720703125 813.939697265625],AP05JED,0.7824689957814999
145,1.0,[1023.5974938628804 626.835945867138 1318.4673645080795 875.8481413078762],[1144.6611328125 789.3416748046875 1228.37841796875 814.91455078125],AP05JED,0.2824760708413018
146,1.0,[1021.8660326773962 629.0905247940028 1319.0132526378143 878.8084064814974],[1135.9090576171875 792.1380615234375 1235.630859375 820.8211669921875],AP05JED,0.30699588799526495
147,1.0,[1022.1191204045749 630.6676127728575 1319.9044491537925 882.2434772646535],[1134.46484375 793.8372802734375 1236.674072265625 821.5814208984375],AP05JED,0.6867130671152438
148,1.0,[1022.0603214400178 632.0676446969072 1321.0691980300855 884.723096173184],[1133.534423828125 794.8255004882812 1238.802734375 822.967529296875],AP05JEO,0.1347584672010242
149,1.0,[1021.2285863213016 634.4535297996587 1322.6366236491945 888.046087657236],[1139.229736328125 798.6575927734375 1240.202392578125 827.5230712890625],AP05JEO,0.6946954747577029
150,1.0,[1021.2988687667585 637.1058607891988 1325.371089129519 891.8902250233326],[1140.16650390625 801.848876953125 1239.86376953125 830.1853637695312],AP05JEO,0.33387559731486394
151,1.0,[1024.4839988753592 638.7752359416864 1329.1457387666755 894.6912829405804],[1135.104248046875 801.8234252929688 1239.665771484375 833.7888793945312],AP05JED,0.33819049184520156
152,1.0,[1021.2534496504575 640.9332184301481 1328.1271063969991 897.1379364572736],[1137.94482421875 804.6597900390625 1237.9808349609375 836.2249755859375],AP05JEO,0.4085873359461769
153,1.0,[1023.1063229731495 643.0030269185842 1329.2870291430552 900.434403399989],[1131.719970703125 811.95361328125 1239.14111328125 845.85888671875],AP05JEO,0.3232895144758633
154,1.0,[1023.7024513945252 643.5862332877967 1330.9768197654091 902.0931657906989],[1137.9306640625 809.6683959960938 1241.788818359375 842.9661254882812],AP05JEO,0.551232961153576
155,1.0,[1024.7451225862153 645.7180861951197 1334.434504602675 905.0721003607616],[1140.9151611328125 819.0833129882812 1241.2218017578125 846.5311889648438],JP05JEO,0.5650969944751385
156,1.0,[1027.8895335794575 649.7960750287084 1335.8840263242575 909.4551714401493],[1138.70458984375 818.3197631835938 1243.1663818359375 846.4048461914062],XP05JEO,0.4516053703529457
157,1.0,[1027.34586053986 651.1223552637366 1334.4299547069759 911.5205698459749],[1138.3828125 819.253662109375 1244.0306396484375 846.831787109375],JP05JEO,0.5189350444810267
158,7.0,[518.3163965324479 592.2365558724277 785.8827206059045 827.4549023055829],[610.4432373046875 743.2142944335938 693.2667846679688 771.9845581054688],CK05ZUI,0.051495433644331325
159,1.0,[1027.8489622885813 655.2971675937272 1336.2653514388294 917.0450782214657],[1142.83251953125 826.9376220703125 1244.87353515625 855.3123779296875],JP05JED,0.5203476223278363
161,1.0,[1034.7849980127462 659.8675193584551 1338.5635194092442 922.0438532275924],[1141.7431640625 828.391357421875 1249.242919921875 859.33349609375],AP05JEO,0.31448186150526086
162,1.0,[1031.5591646098876 662.6309104228474 1337.1221255092066 926.0462815075996],[1144.6322021484375 832.8157958984375 1248.7701416015625 865.1156005859375],AP05JED,0.3396044943075945
163,1.0,[1032.6813090898793 664.8529994565607 1338.8457582009567 929.2095806188355],[1151.2305908203125 839.7227783203125 1250.28955078125 869.466064453125],AP05JED,0.44520855977095863
164,1.0,[1032.6182386189273 666.7859969470506 1340.2080155483347 932.5105406093088],[1144.486328125 842.2542114257812 1252.992431640625 870.8388061523438],AP05JEO,0.15733103039640148
165,7.0,[511.1541901136977 607.2117647205217 784.1304329884533 844.5169377624417],[602.0458374023438 758.2052001953125 687.8043823242188 787.7381591796875],KH05ZTK,0.16104735951206844
166,1.0,[1031.786023713896 671.4896486777517 1341.1674637091603 940.4618017345941],[1145.452880859375 846.8428344726562 1256.6689453125 875.9177856445312],AP05JEO,0.26575751635952993
167,1.0,[1031.601841349367 674.6716708111921 1342.1101166195426 944.3990157770568],[1147.4088134765625 851.8390502929688 1252.9691162109375 881.0542602539062],AP05JEO,0.285991667842228
168,1.0,[1034.8332435785508 676.8260826212587 1345.0678176173071 947.0095710820264],[1145.238525390625 852.7937622070312 1258.095947265625 884.1165161132812],AP05JEO,0.2932442685162905
169,1.0,[1033.418985600616 678.0702246768426 1345.648356743553 948.7168963682309],[1146.0162353515625 854.224365234375 1257.8218994140625 885.2742919921875],AP05JEO,0.34705489837115905
170,1.0,[1032.8631544712161 681.2367363588955 1346.6981543348716 952.0857537551583],[1145.34765625 861.76611328125 1257.765380859375 896.0771484375],JP05JEO,0.21997308364099946
171,1.0,[1034.2405849735756 685.4665382350513 1348.6365800048106 956.6121493830697],[1151.9599609375 865.2967529296875 1258.78466796875 893.7962036132812],AP05JEO,0.10352209330675219
